location,property_type,bedrooms,bathrooms,size_sqft,amenities,amenity_score,has_parking,has_pool,has_gym,has_security,has_garden,has_generator,has_borehole,has_staff_quarters,has_aircon,has_internet,price_kes,price_per_sqft,listing_date,month,month_name,is_land,source
Kiambu Road,House,3,3,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
Ridgeways,Villa,4,4,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,516000.0,136.77,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,250000.0,145.16,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,380000.0,147.1,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,413000.0,239.81,2026-02-22,2,February,0,BuyRentKenya
"Gigiri, Westlands",Townhouse,3,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,261.29,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,390000.0,226.45,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Westlands Area, Westlands",Villa,4,3,3772.75,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,150000.0,39.76,2026-02-22,2,February,0,BuyRentKenya
Lavington,Villa,5,6,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,700000.0,185.54,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,275000.0,159.68,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,430000.0,166.45,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
Karen,House,5,5,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,360000.0,139.35,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,4,4,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,400000.0,154.84,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,4,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,270000.0,156.77,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",House,5,4,2583.34,"Aircon, Staff quarters",2,0,0,0,0,0,0,0,1,1,0,320000.0,123.87,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,5,5,1722.22,"Aircon, Garden",2,0,0,0,0,1,0,0,0,1,0,350000.0,203.23,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,180000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
Kileleshwa,Townhouse,2,2,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,180000.0,104.52,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,5,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,500000.0,290.32,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,4,5,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,261.29,2026-02-22,2,February,0,BuyRentKenya
/ month,House,5,0,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,370000.0,143.23,2026-02-22,2,February,0,BuyRentKenya
Lavington,Townhouse,6,6,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,261.29,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",Bungalow,5,6,1700.7,None,0,0,0,0,0,0,0,0,0,0,0,450000.0,264.6,2026-02-22,2,February,0,BuyRentKenya
"Nyari, Westlands",House,4,4,4090.28,Staff quarters,1,0,0,0,0,0,0,0,1,0,0,280000.0,68.45,2026-02-22,2,February,0,BuyRentKenya
"Brookside, Westlands",Townhouse,4,5,1722.22,Aircon,1,0,0,0,0,0,0,0,0,1,0,300000.0,174.19,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Villa,3,3,3772.75,None,0,0,0,0,0,0,0,0,0,0,0,322500.0,85.48,2026-02-22,2,February,0,BuyRentKenya
Muthaiga,Bungalow,4,5,1700.7,None,0,0,0,0,0,0,0,0,0,0,0,500000.0,294.0,2026-02-22,2,February,0,BuyRentKenya
"Runda, Westlands",Townhouse,4,4,2475.7,None,0,0,0,0,0,0,0,0,0,0,0,200000.0,80.79,2026-02-22,2,February,0,BuyRentKenya
Ridgeways,House,2,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,120000.0,46.45,2026-02-22,2,February,0,BuyRentKenya
Ngong Road,House,1,2,2583.34,None,0,0,0,0,0,0,0,0,0,0,0,37000.0,14.32,2026-02-22,2,February,0,BuyRentKenya
"Kitisuru, Westlands",Townhouse,4,4,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,420000.0,243.87,2026-02-22,2,February,0,BuyRentKenya
"Rosslyn, Westlands",Townhouse,6,0,1722.22,None,0,0,0,0,0,0,0,0,0,0,0,630000.0,365.81,2026-02-22,2,February,0,BuyRentKenya
Lavington,House,3,3,2583.34,Garden,1,0,0,0,0,1,0,0,0,0,0,350000.0,135.48,2026-02-22,2,February,0,BuyRentKenya
